airport,timezone,elevation,continent,longitude,latitude
VNKT,Asia/Kathmandu,4390.0,AS,85.3591,27.6966
LPLA,Atlantic/Azores,180.0,EU,-27.090799,38.761799
DIAP,Africa/Abidjan,21.0,AF,-3.92629,5.26139
LGSR,Europe/Athens,127.0,EU,25.47929954528809,36.399200439453125
LGSK,Europe/Athens,54.0,EU,23.5037,39.177101
EFTP,Europe/Helsinki,390.0,EU,23.604401,61.414101
LIEO,Europe/Rome,37.0,EU,9.51763,40.898701
LGLM,Europe/Athens,14.0,EU,25.236299514799995,39.917098999
LIEA,Europe/Rome,87.0,EU,8.29077,40.632099
LTCU,Europe/Istanbul,3506.0,AS,40.594489,38.860131
LFKB,Europe/Paris,26.0,EU,9.48373031616211,42.55270004272461
LGPZ,Europe/Athens,11.0,EU,20.765301,38.925499
LGKL,Europe/Athens,26.0,EU,22.02549934387207,37.06829833984375
LGMK,Europe/Athens,405.0,EU,25.348101,37.435101
LTFO,Europe/Istanbul,16.0,AS,40.850796,41.179625
ORMM,Asia/Baghdad,11.0,AS,47.662102,30.549101
LPAZ,Atlantic/Azores,308.0,EU,-25.17060089111328,36.97140121459961
LFRG,Europe/Paris,479.0,EU,0.154481,49.365237
LBBG,Europe/Sofia,135.0,EU,27.515173,42.569917
DTTJ,Africa/Tunis,19.0,AF,10.7755,33.875
KRDU,America/New_York,435.0,,-78.787498,35.877602
LGIO,Europe/Athens,1558.0,EU,20.8225,39.6964
LGSY,Europe/Athens,44.0,EU,24.4871997833,38.9676017761
LJMB,Europe/Ljubljana,876.0,EU,15.6861,46.4799
GMTT,Africa/Casablanca,62.0,AF,-5.921459,35.731741
LTBR,Europe/Istanbul,764.0,AS,29.562599,40.255199
LWOH,Europe/Skopje,2313.0,EU,20.7423,41.18
RPLL,Asia/Manila,75.0,AS,121.019997,14.5086
LIEE,Europe/Rome,13.0,EU,9.05428,39.251499
LFKJ,Europe/Paris,18.0,EU,8.8029203414917,41.92359924316406
LFMV,Europe/Paris,124.0,EU,4.90183,43.907299
EDDE,Europe/Berlin,1036.0,EU,10.9581,50.979801
LFMP,Europe/Paris,144.0,EU,2.87067,42.740398
EEPU,Europe/Tallinn,47.0,EU,24.47279930114746,58.41899871826172
LRCL,Europe/Bucharest,1039.0,EU,23.684292,46.787425
LFBZ,Europe/Paris,245.0,EU,-1.531111,43.468333
FZAA,Africa/Kinshasa,1027.0,AF,15.4446,-4.38575
LIPO,Europe/Rome,355.0,EU,10.3306,45.428902
LFMT,Europe/Paris,17.0,EU,3.96301,43.576199
